podcast_title,podcast_id,nr_of_reviews,average_rating,main_category,sentiment_bool,compound_score_mean,compound_score_min,compound_score_max,compound_score_median,unique_authors,reviews_per_author
Unorthodox,ac046bf93323b449e99ced0b5fcec145,299,4.8193979933110365,judaism,0.8929765886287625,0.7343274247491638,-0.6741,0.998,0.8585,291,1.0274914089347078
Beginning Within,e6531554ae340546aeaa2f3c72807577,118,4.991525423728813,judaism,0.8813559322033898,0.6548313559322034,-0.4767,0.9712,0.76115,118,1.0
Messianic Jewish Teachings: David Levine,e5ca01c39bbac79f08581e3de827a1dc,86,3.2790697674418605,judaism,0.3372093023255814,0.3175906976744186,-0.8555,0.9974,0.5261499999999999,83,1.036144578313253
Jewish Latin Princess,f6676c2a2cf0c2a61e4f72bd1fd6381b,73,5.0,judaism,0.958904109589041,0.8331904109589041,-0.4019,0.986,0.9159,70,1.042857142857143
Judaism Unbound,a09aac928f460dcf7a23aa8bd48fca7d,73,4.835616438356165,judaism,0.8082191780821918,0.6371657534246575,-0.6599,0.9831,0.8122,73,1.0
Rabbi Daniel Lapin,fc3808fdfde6e5d0f6cf6be5860de009,66,4.833333333333333,judaism,0.8787878787878788,0.6819681818181819,-0.5255,0.9901,0.8158,64,1.03125
Stuff Jews Should Know,c41e5a64380e12695a00a777f58e775b,65,4.938461538461539,judaism,0.9538461538461539,0.7928184615384616,-0.0418,0.9914,0.886,65,1.0
Human & Holy,f3e799d9b8648bd048657108384c8596,53,5.0,judaism,0.9056603773584906,0.7545245283018869,-0.25,0.9833,0.8835,53,1.0
The Tikvah Podcast,cf82730bb56bc0ea2601ce7f36d667d6,51,4.7254901960784315,judaism,0.8431372549019608,0.6279509803921567,-0.9079,0.9967,0.7506,47,1.0851063829787233
Tel Aviv Review,f0c59d43f884807e9df72b4c42e72b8b,49,4.795918367346939,judaism,0.8979591836734694,0.687365306122449,-0.9512,0.9964,0.8173,44,1.1136363636363635
Lore,cadc6a8ec87e011663a28ccf29035a7d,1663,4.051112447384245,history,0.6458208057727,0.5179138304269393,-0.9949,0.9972,0.7275,1573,1.0572155117609663
Noble Blood,f416dbd6e2740cacc5bec1a37de8f3d4,1481,4.523970290344362,history,0.7900067521944631,0.6407748818365968,-0.983,0.998,0.8213,1417,1.045165843330981
American Scandal,c19c56eed5f36489fb1bdff7e742b038,1444,4.316481994459834,history,0.5657894736842105,0.4449576177285319,-0.9917,0.9922,0.6751,1393,1.0366116295764538
Throughline,eff0d55df3b0d1ec61b6fb87faac2398,1429,4.15815255423373,history,0.6620013995801259,0.5204281315605318,-0.992,0.9951,0.7269,1352,1.0569526627218935
American History Tellers,e48360bd07d7b284dcfd129fe3904f97,1264,4.339398734177215,history,0.7033227848101266,0.56543125,-0.9927,0.9943,0.78625,1220,1.0360655737704918
Real Ghost Stories Online,ea4b525704af18de84441d0f37244cff,1056,4.0397727272727275,history,0.7301136363636364,0.5995775568181818,-0.984,0.9968,0.807,1002,1.0538922155688624
Astonishing Legends,bb1ee4da8321bbb9d384ceaf4890b57f,1032,4.192829457364341,history,0.7374031007751938,0.6051505813953488,-0.9808,0.9982,0.8223,956,1.0794979079497908
Cocaine & Rhinestones: The History of Country Music,f1225e5885260bbd85866dd654550ae1,953,4.8100734522560336,history,0.8719832109129066,0.7042180482686253,-0.9259,0.996,0.8357,930,1.0247311827956989
Slow Burn,c4f6ee92e48accf5e33c2c8fb8857830,906,3.9216335540838854,history,0.44260485651214126,0.3309673289183223,-0.9904,0.9893,0.5574,881,1.0283768444948922
Unobscured,a79cb5d0a000af8fce05e2958100e5b0,827,4.575574365175332,history,0.7581620314389359,0.6086008464328899,-0.9783,0.9948,0.7934,811,1.0197287299630087
Mind Pump: Raw Fitness Truth,a37fb116709bfdb2dd58ea4f784cb815,2855,4.841681260945709,health-fitness,0.92784588441331,0.805341646234676,-0.9869,0.9988,0.9099,2591,1.101891161713624
